gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1457870007.00	41.177460667	-8.599564583	119.3	11.215	201.40	1.3	?	?
1457870008.00	41.177360533	-8.599608733	120.5	12.038	200.70	1.3	?	?
1457870009.00	41.177255450	-8.599660817	121.3	12.707	200.80	1.3	?	?
1457870010.00	41.177145033	-8.599716433	121.9	13.324	200.50	1.3	?	?
1457870011.00	41.177032250	-8.599773817	122.8	13.684	201.10	1.3	?	?
1457870012.00	41.176917900	-8.599831883	123.7	13.839	201.50	1.3	?	?
1457870013.00	41.176805467	-8.599889633	124.3	13.684	201.50	1.3	?	?
1457870014.00	41.176687250	-8.599952017	125.2	14.147	202.10	1.3	?	?
1457870015.00	41.176568350	-8.600014183	126.1	14.353	201.60	1.5	?	?
1457870016.00	41.176451050	-8.600074017	126.9	14.044	200.60	1.5	?	?
1457870017.00	41.176335000	-8.600124233	127.2	13.581	198.10	1.5	?	?
1457870018.00	41.176228117	-8.600165483	128.0	12.450	194.90	1.5	?	?
1457870019.00	41.176121383	-8.600197133	126.9	11.729	191.40	1.5	?	?
1457870020.00	41.176012467	-8.600221600	126.1	11.678	187.80	1.5	?	?
1457870021.00	41.175896100	-8.600237233	123.7	11.884	184.10	1.5	?	?
1457870022.00	41.175787983	-8.600237733	122.3	11.935	179.20	1.5	?	?
1457870023.00	41.175685700	-8.600225217	122.9	12.038	175.80	1.5	?	?
1457870024.00	41.175577167	-8.600209250	123.1	12.192	172.80	1.5	?	?
1457870025.00	41.175465667	-8.600189350	123.3	12.450	169.40	1.3	?	?
1457870026.00	41.175360933	-8.600158833	123.0	12.450	166.90	1.3	?	?
1457870027.00	41.175255967	-8.600118367	122.9	12.450	164.00	1.3	?	?
1457870028.00	41.175157233	-8.600080783	122.2	11.729	161.90	1.5	?	?
1457870029.00	41.175080200	-8.600033600	121.6	9.620	156.60	1.3	?	?
1457870030.00	41.175018367	-8.599994967	121.0	7.202	153.70	1.3	?	?
1457870031.00	41.174973750	-8.599967167	120.6	4.939	152.90	1.3	?	?
1457870032.00	41.174944033	-8.599953650	120.8	2.984	160.20	1.3	?	?
1457870033.00	41.174924400	-8.599942583	120.9	2.006	164.50	1.3	?	?
1457870034.00	41.174911550	-8.599934150	121.0	1.338	160.10	1.3	?	?
1457870035.00	41.174904317	-8.599930667	120.6	0.514	179.10	1.3	?	?
1457870036.00	41.174900133	-8.599926833	118.6	0.103	217.90	1.3	?	?
1457870037.00	41.174900067	-8.599925567	117.7	0.206	324.50	1.3	?	?
1457870038.00	41.174899300	-8.599923917	117.2	0.051	249.90	1.3	?	?
1457870039.00	41.174898567	-8.599922717	116.9	0.051	231.90	1.3	?	?
1457870040.00	41.174897567	-8.599921583	116.9	0.051	238.90	1.3	?	?
1457870041.00	41.174896483	-8.599921983	116.6	0.103	246.40	1.3	?	?
1457870042.00	41.174895350	-8.599922167	116.3	0.051	210.40	1.3	?	?
1457870043.00	41.174894450	-8.599923200	116.0	0.103	254.90	1.3	?	?
1457870044.00	41.174893983	-8.599920217	116.2	0.000	229.90	1.3	?	?
1457870045.00	41.174893833	-8.599915917	116.7	0.051	247.20	1.3	?	?
1457870046.00	41.174893467	-8.599914067	116.8	0.051	245.40	1.3	?	?
1457870047.00	41.174893250	-8.599912150	117.0	0.000	84.50	1.3	?	?
1457870048.00	41.174891000	-8.599913650	117.3	0.051	76.30	2.3	3.7	4.3
1457870049.00	41.174885200	-8.599913583	117.6	0.051	82.90	2.3	3.7	4.3
1457870050.00	41.174881650	-8.599909850	118.7	0.000	34.20	2.3	3.7	4.3
1457870051.00	41.174879150	-8.599907783	119.3	0.051	38.60	2.3	3.7	4.3
1457870052.00	41.174877467	-8.599907017	119.8	0.051	54.60	2.3	3.7	4.3
1457870053.00	41.174876500	-8.599906233	120.2	0.051	53.50	2.3	3.7	4.3
1457870054.00	41.174876200	-8.599905767	120.6	0.000	321.60	2.3	3.7	4.3
1457870055.00	41.174867200	-8.599902083	120.7	1.492	161.80	2.3	3.7	4.3
1457870056.00	41.174840833	-8.599884733	120.7	3.961	155.60	2.3	3.7	4.3
1457870057.00	41.174803583	-8.599865483	121.0	4.784	158.30	2.3	3.7	4.3
1457870058.00	41.174761600	-8.599854983	121.0	5.093	170.30	2.3	3.7	4.3
1457870059.00	41.174714117	-8.599864567	121.4	6.276	192.20	1.3	?	?
1457870060.00	41.174658333	-8.599897300	121.7	7.459	205.40	1.3	?	?
1457870061.00	41.174599550	-8.599949217	121.4	8.488	217.40	1.3	?	?
1457870062.00	41.174540500	-8.600026350	121.0	9.311	225.40	1.5	?	?
1457870063.00	41.174487233	-8.600107933	121.5	9.414	229.60	1.8	?	?
1457870064.00	41.174433950	-8.600188883	124.0	9.672	228.60	1.8	?	?
1457870065.00	41.174376450	-8.600274700	125.8	10.237	228.00	1.8	?	?
1457870066.00	41.174316950	-8.600370333	127.5	11.009	228.70	1.8	?	?
1457870067.00	41.174248900	-8.600469917	128.3	11.832	226.90	1.4	?	?
1457870068.00	41.174173533	-8.600569683	128.9	12.347	225.40	1.4	?	?
1457870069.00	41.174105767	-8.600671733	129.7	12.244	226.20	1.4	?	?
1457870070.00	41.174022867	-8.600789967	129.9	12.141	229.00	1.6	?	?
1457870071.00	41.173961267	-8.600907167	130.3	11.575	236.00	1.5	?	?
1457870072.00	41.173914350	-8.601029050	130.7	11.318	244.00	1.5	?	?
1457870073.00	41.173880833	-8.601153467	131.1	11.163	250.90	1.5	?	?
