n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.acc	gps.nsats
249	14634	1478957186	623	1478957192	41.21261295	-8.55074767	170	239.1	12.75	4	11
250	14634	1478957187	597	1478957193	41.21255925	-8.55086476	169.8	239.6	11.5	4	11
251	14634	1478957188	555	1478957194	41.21251097	-8.55095924	169.4	238	10	3	11
252	14634	1478957189	621	1478957195	41.21246625	-8.55104766	168.8	235.5	8.75	3	11
253	14634	1478957190	566	1478957196	41.21242057	-8.5511325	168.6	233.2	8.75	4	11
254	14634	1478957191	557	1478957197	41.21237024	-8.55121665	168.9	232.1	9	4	11
255	14634	1478957192	552	1478957198	41.21232422	-8.55130641	169.6	232.7	9.5	4	11
256	14634	1478957193	564	1478957199	41.2122682	-8.55140209	169.4	233.5	10	4	11
257	14634	1478957194	555	1478957200	41.21221538	-8.55150987	169.3	236	10.5	4	11
258	14634	1478957195	562	1478957201	41.21216287	-8.55161703	169.3	237.4	11	4	11
259	14634	1478957196	570	1478957202	41.21211493	-8.55172871	169.4	239	11	3	11
260	14634	1478957197	562	1478957203	41.21206892	-8.55183423	170.1	238.6	10	3	11
261	14634	1478957198	552	1478957204	41.21203276	-8.55191655	170.6	236.7	8.25	3	11
262	14634	1478957199	553	1478957205	41.21200111	-8.55198467	170.3	233.6	6.5	3	11
263	14634	1478957200	570	1478957206	41.21197351	-8.55203396	170	225.7	5.5	3	11
264	14634	1478957201	552	1478957207	41.2119504	-8.55207105	169.8	235.8	4.25	3	11
265	14634	1478957202	552	1478957208	41.21194209	-8.55210613	169.5	239.3	3.25	3	10
266	14634	1478957203	563	1478957209	41.21193034	-8.5521296	169.6	238.3	2.25	3	10
267	14634	1478957204	553	1478957210	41.21192265	-8.55214505	169.2	239.1	1.5	3	10
268	14634	1478957205	568	1478957211	41.2119071	-8.55216742	169	238.4	2.25	3	10
269	14634	1478957206	561	1478957212	41.21189992	-8.55218755	168.7	236.1	2.25	3	10
270	14634	1478957207	578	1478957213	41.21189504	-8.55220107	168.5	237.1	1.5	3	9
271	14634	1478957208	570	1478957214	41.21189565	-8.55220666	168.7	237.1	0.75	3	9
272	14634	1478957209	554	1478957215	41.21188946	-8.55221843	168.7	239.6	1.25	3	9
273	14634	1478957210	562	1478957216	41.21187411	-8.55225176	168.9	239.5	3.25	3	9
274	14634	1478957212	80	1478957217	41.21185413	-8.55229497	169.1	239.6	4	9	9
275	14634	1478957213	584	1478957219	41.21178314	-8.55244696	169.6	239.7	8.25	9	9
276	14634	1478957215	120	1478957220	41.21173125	-8.55256049	170	238.7	10.5	9	10
277	14634	1478957216	672	1478957222	41.21162839	-8.55279467	170.9	237.6	11.5	9	10
278	14634	1478957217	709	1478957223	41.21157242	-8.55290519	170.2	237.8	11.5	9	10
279	14634	1478957218	631	1478957224	41.21151712	-8.55301701	169.6	236.8	11.25	10	10
280	14634	1478957219	576	1478957225	41.21147124	-8.55313168	168.9	239.8	11	9	10
281	14634	1478957220	584	1478957226	41.21142327	-8.55324761	168	241	11	9	10
282	14634	1478957221	561	1478957227	41.21138002	-8.5533464	167.6	238	9.75	9	10
283	14634	1478957222	575	1478957228	41.21133658	-8.55342925	166.9	236.8	8.75	9	10
284	14634	1478957224	80	1478957229	41.2112929	-8.55349769	166.9	229.7	7.5	10	10
285	14634	1478957225	640	1478957231	41.21115707	-8.55349965	166.2	169.8	7.75	9	10
286	14634	1478957226	739	1478957232	41.21108745	-8.55346887	166.2	161.5	8	10	10
287	14634	1478957228	574	1478957234	41.21096134	-8.55337072	166.2	147.6	7.75	10	10
288	14634	1478957229	564	1478957235	41.21092513	-8.55331568	166.3	141	6.25	10	10
289	14634	1478957230	556	1478957236	41.21089718	-8.55327325	166.1	137.7	4.5	10	9
290	14634	1478957231	553	1478957237	41.21089261	-8.55325337	165.8	130.3	2	10	10
291	14634	1478957232	567	1478957238	41.21088868	-8.55324719	165.8	130.3	0.5	10	9
292	14634	1478957233	619	1478957239	41.21088708	-8.55325052	165.8	0	0	10	8
293	14634	1478957234	555	1478957240	41.21089094	-8.55324579	165.8	0	0	10	8
294	14634	1478957235	577	1478957241	41.21088503	-8.55324394	165.9	0	0	9	8
295	14634	1478957236	553	1478957242	41.21088225	-8.55323984	165.8	0	0	9	7
296	14634	1478957237	555	1478957243	41.21088167	-8.5532389	165.7	0	0	9	7
297	14634	1478957238	567	1478957244	41.21088111	-8.55323831	165.7	0	0	9	8
298	14634	1478957239	571	1478957245	41.21087969	-8.55323826	165.7	0	0	9	6
299	14634	1478957240	568	1478957246	41.21087962	-8.55323632	165.7	0	0	10	6
300	14634	1478957241	566	1478957247	41.21087895	-8.55323342	165.7	0	0	10	5
301	14634	1478957242	572	1478957248	41.21087827	-8.55323148	165.6	0	0	10	6
302	14634	1478957243	554	1478957249	41.2108784	-8.55322987	165.6	0	0	10	6
303	14634	1478957244	555	1478957250	41.21087842	-8.55322803	165.6	0	0	10	6
304	14634	1478957245	555	1478957251	41.2108787	-8.55322771	165.6	0	0	11	7
305	14634	1478957246	560	1478957252	41.21087885	-8.55322745	165.6	0	0	11	6
306	14634	1478957247	555	1478957253	41.21087886	-8.55322742	165.6	0	0	11	7
307	14634	1478957248	554	1478957254	41.21087888	-8.55322738	165.6	0	0	11	7
